title,open_date,movie_link,poster_link
The Thorn,"Opened Mar 06, 2023",/m/the_thorn_2023,https://resizing.flixster.com/bFeiUQwfc2drDpWul3gV3g9PAXk=/180x258/v2/https://resizing.flixster.com/m9SUebSjlMIrn5G9VEGmx6mKL3c=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZmNmVhOThmLWZiN2EtNGMzOS1hODc5LThjNTI5YjU4OTc4Yy5qcGc=
Tu Jhoothi Main Makkaar,"Opens Mar 08, 2023",/m/tu_jhoothi_main_makkaar,https://resizing.flixster.com/fQ4D1iiRPiwNdFXGE6za19k-bhA=/180x258/v2/https://resizing.flixster.com/vqEGJotvD5G3tMkJUb8eBWKC_vk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2UwZGFhNDY0LWJmZDUtNDRhZC04YzQ2LWEwNmIzN2MzZmQ3Zi5qcGc=
Mitran Da Naa Chalda,"Opens Mar 08, 2023",/m/mitran_da_naa_chalda,https://resizing.flixster.com/0q8o60vxY3-QnvPyzmu-p2e1-2U=/180x258/v2/https://resizing.flixster.com/zWOjQYmc6n88sUHCh8DFiIpcA4I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBlNDEwNTUwLTc5MjktNDJiMi1iNjI2LTY4Y2VjZDI3MWRlOS5qcGc=
Uchiyan Ne Gallan Tere Yaar Diyan,"Opens Mar 08, 2023",/m/uchiyan_ne_gallan_tere_yaar_diyan,https://resizing.flixster.com/CHvICSdOHXUD-cfdB2FNd1OOZ-I=/180x258/v2/https://resizing.flixster.com/etRtkq6TG76w42bI72_OVNXklpE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJmMDA5NDVlLTU0MTUtNDIxMi1hZjhiLTAxMDkwYjcyZjdjMC5qcGc=
Scream VI,"Opens Mar 10, 2023",/m/scream_vi,https://resizing.flixster.com/SNmo199mLTKkD3lO-b21nrSz-k4=/180x258/v2/https://resizing.flixster.com/dbokT9ziX9XrMs2Ims1OnyLJYmI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzk3ZmU4OTRlLWM5YTAtNDU3Ni04ODNiLWUxZDE1ZmY1MWQ3Yi5qcGc=
65,"Opens Mar 10, 2023",/m/65,https://resizing.flixster.com/ENPGEvODQzxrtxvQdpIUdcxX0M4=/180x258/v2/https://resizing.flixster.com/B3PKF59iChbIK81k7aF0tgkY8_8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E4Yzc2ZmE2LWM5MGEtNDdkNS05MWY1LWY2ZDU0N2IwMjdlZi5qcGc=
Champions,"Opens Mar 10, 2023",/m/champions_2022,https://resizing.flixster.com/YkaS4L5znXdFlOS6apTW_m_fgeE=/180x258/v2/https://resizing.flixster.com/1VOc5ZNpTlYVgQcAhJJeLhYnlrA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FmZTVlZWVmLWU4MzktNGQ5Ny1hZGNjLWQ3ODc5OTE0NDc2NC5qcGc=
Unicorn Wars,"Opens Mar 10, 2023",/m/unicorn_wars,https://resizing.flixster.com/ZL2RFxTs1wIkq8uqfCUPA3yeS7k=/180x258/v2/https://resizing.flixster.com/7JYeLYMpeNKtD_-kthcYnvgLdm4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzkwOWI0NWUzLTczOWMtNDhiNy1hZjhlLTc3NmUzY2ExZGIxMi5qcGc=
Martyr or Murderer,"Opens Mar 10, 2023",/m/martyr_or_murderer,https://resizing.flixster.com/BU33q55JGLV0yWlNkm6rdJtAAkQ=/180x258/v2/https://resizing.flixster.com/eqYl_IoL6AVsvWAZngWRlacO2ek=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhhMjFkY2I5LTc3YTktNDUzYi04MzlmLWY2M2YxZTJjMzUzOS5qcGc=
99 Moons,"Opens Mar 10, 2023",/m/99_moons,https://resizing.flixster.com/vSlwBFkHJZoDNTZEFRGJujMGEvE=/180x258/v2/https://resizing.flixster.com/YlDgdtRWfoIg6FZnEBjjnLiv5YA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhhZjIyYzU5LWU5ZjMtNGE0OS1iNWNiLTMyYTU1NzA1NjlhOS5qcGc=
I Got a Monster,"Opens Mar 10, 2023",/m/i_got_a_monster,https://resizing.flixster.com/GrLB5hPCp-JfEmo2bHuufr0Hv78=/180x258/v2/https://resizing.flixster.com/VZ3rijUyXxvxuk7BU3NTPpRGsTk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QwOTMzOWNkLTI1MDgtNDFkYi1hNTcwLWFkNDZmZDQ2NWUxMS5qcGc=
The Magic Flute,"Opens Mar 10, 2023",/m/the_magic_flute_2022,https://resizing.flixster.com/aQQsSkTfqw4-x9jE_TaVzDPzuyI=/180x258/v2/https://resizing.flixster.com/8eTDpgtcrFxnNXNT6ozT5GEmH5U=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY1ZDVmZjE2LTU0OGMtNDVhYS1hNDA5LTliOGMzZmRhOWUxNC5wbmc=
Punch,"Opens Mar 10, 2023",/m/punch_2023,https://resizing.flixster.com/UVyWPGxWeymejsSu5VUvF6e1_S4=/180x258/v2/https://resizing.flixster.com/4rmRZOQQxxcuCO0noNFKIOu4tNc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM2YmQxOTllLWU2MWUtNDRiNS05M2Q2LWY3ZjJiZjAwYWFmNi5qcGc=
Righteous Thieves,"Opens Mar 10, 2023",/m/righteous_thieves,https://resizing.flixster.com/SAoAMXA0utzgUf4ExtxFkUYJKeA=/180x258/v2/https://resizing.flixster.com/WiTKmAJ4nrcMLhQ9i1HVdok0Lag=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc3OTZiN2NmLTQ3YzctNGJkMC1iMzA4LWVjMzE0MmM2YzQzYi5qcGc=
The Siege,"Opens Mar 10, 2023",/m/the_siege_2022,https://resizing.flixster.com/Rn4WysuZRREr1GxTlkGEQFvZibQ=/180x258/v2/https://flxt.tmsimg.com/assets/p23931018_v_v13_aa.jpg
